droch-aigean-tach drochaigeanta
droch-aigeanntach drochaigeanta
droch-bheithidheach drochbheithíoch
droch-bhéalacha drochbhéalacha
droch-chosamhlacht droch-chosúlacht
droch-chrích droch-chríoch
droch-dhealbhacha drochdhealbhacha
droch-dhlighthe drochdhlíthe
droch-ghníomhartha drochghníomhartha
droch-ghnótach drochghnóthach
droch-labhrach drochlabhartha
droch-meisneach drochmhisneach
droch-mhná drochmhná
droch-mhúinteach drochmhúinte
droch-misneach drochmhisneach
droch-neithe drochnithe
droch-nídh drochní
droch-riuthagach drochruthagach
droch-ruithagach drochruthagach
droch-smuínte drochsmaointe
droch-úmpar drochiompar
droich-bheartach drochbheartach
droich-mheanmnach drochmheanmnach
droich-nídh drochní
dron-uillinneach dronuilleach
dronn-uilneach dronuilleach
dronuillinneach dronuilleach
druideamhaint druidim
druididh-se druidigíse
druidídh druidigí
druimleach droimneach
druinge droinge
drámaidhthe drámaí
dróbhlásach drabhlásach
drónach dronnach
dtabernacul dtaibearnacal
dtabhairfeá dtabharfá
dtabhairfinn dtabharfainn
dtabharfainn-se dtabharfainnse
dtabharfidís dtabharfaidís
dtabharfinn dtabharfainn
dtabharfá-sa dtabharfá
dtabhrfadh dtabharfadh
dtagaid dtagann siad
dtagainn-se dtagainnse
dtagair dtaga tú
dtagfadh dtiocfadh
dtaisbéanfaidh dtaispeánfadh
dtaithnfeadh dtaitneodh
dteachamar ndeachamar
dteagadh dtagadh
dteampoll dteampall
dteidheadh dtéadh
dteighlach dteaghlach
dtigh-ne dteachna
dtigheadh dtagadh
dtighthibh dtithe
dtigidís dtagaidís
dtigimís dtagaimis
dtiginn dtagainn
dtigtheá dtagtá
dtiocfidís dtiocfaidís
dtiocfá-sa dtiocfása
dtiochfadh dtiocfadh
dtiubharthá dtabharfá
dtiubhrthá dtabharfá
dtiúbharfadh dtabharfadh
dtiúbhraidh dtuga tú
dtratha dtrátha
dtugad go dtuga mé
dtugaim-sa dtugaimse
dtugainn-se dtugainnse
dtugthaoi dtugtaí
dtugthar dtugtar
dtugthá dtabharfá
dtuigean dtuigeann
dtuigfá dtuigfeá
dtusach dtosach
dtusnuighthí dtosaítí
dtáiniceadar thángadar
dtáncadar thángadar
dtéideann dtéann
dtéidhim-sa dtéimse
dtéidhim-se dtéimse
dtéidhinn-se dtéinnse
dtéidhthá dtéiteá
dtéighidís dtéidís
dtéighinn-se dtéinnse
dtéighir dtéann tú
dtéighthá dtéiteá
dtígheadh dtagadh
dtíompal dtimpeall
dtógfidís dtógfaidís
dtóláimh dtólamh
duadhnaoiseach duainéiseach
duagh dua
duaibhseacha duaiseacha
dubairt dúirt
dubh-cheó dubhcheo
dubh-chraiceannach dúchraicneach
dubh-chraiceannacha dúchraicneacha
dubh-ghruaigeach dúghruagach
dubh-mhasluightheach dúmhaslach
dubh-sgamallach dúscamallach
dubharadar dúradar
dubharamair dúramar
dubhart-sa dúirt mise
dubhartsa dúirt mise
dubhbrónach dobrónach
dubhchroidheach dúchroíoch
dubhchroídheach dúchroíoch
dubhradar-san dúradarsan
dubhraighis-se dúirt tusa
dubhramair dúramar
dubhras-sa dúirt mise
dubhrathas dúradh
dubhraís-se dúirt tusa
dubhruighis dúirt tú
dubhráis dúirt tú
dubhrúir-se dúirt tusa
Dubhthaigh Dufaigh
Dubhthaigheach Dufaíoch
dubháirt dúirt
duibh-néaltacha dúnéaltacha
Duibhtheach Duifeach
duilleabhrach duilliúrach
duinuasal duine uasal
dul-isteach dul isteach
dulchannacha dolcarnacha
durachtach dúthrachtach
durchroidheach dúrchroíoch
dusmánta duasmánta
duthaigh dúiche
duthrachdach dúthrachtach
duthrachtach dúthrachtach
duíthe di
dá'réag dáréag
dáinte táinte
dáiríreach dáiríre
dáithte daite
dáltha dála
dámbadh dá mba
déadhnach déanach
déagh-chléireach dea-chléireach
déagh-chruthach dea-chruthach
déanaid déanann siad
déanaidh déanaigí
déanaim-se déanaimse
déanam-aois déanaimis
déanaídh-se déanaigí
déanaíghe déanaí
déanfainn-se dhéanfainnse
déanfam-na déanfaimidne
déanfha déanfaidh
déanfhaidhe dhéanfaí
déanfidís dhéanfaidís
déanfimíd déanfaimid
déanfimíd-na déanfaimidne
déanfimíd-ne déanfaimidne
déanfimíd-se déanfaimidne
déanfinn dhéanfainn
déannach déanach
déantúsaí déantúis
déar-chaointeach dearchaointeach
déarfainn-se déarfainnse
déarfha déarfaidh
déarfidís déarfaidís
déarnadh ndearnadh
déarthá déarfá
déideanach déanach
déidearradh éidearbhú
déidheannaighe déanaí
déidhnach déanach
déidhneach déanach
déigheanach déanach
déigheanaighe déanaí
déigheaneach déanach
déigheannach déanach
déigheannacha déanacha
déighleáil déileáil
déighméineach dea-mhéineach
déineach déanach
déineam déanaimis
déinidh-se déanaigíse
déinidhí déanaigí
déinigí déanaigí
déinim déanaim
déinimís déanaimis
déithibh déithe
dén den
dí-áirmhthe dí-áirithe
díbireadh díbríodh
díbireóchaidh díbreoidh
díbirte díbeartha
díbirteach díbeartach
díbirthe díbeartha
díbirtheach díbeartach
díchealach dícheallach
díchiollach dícheallach
dícéille díth céille
dícíollach dícheallach
díireach díreach
dímheirceach díbhirceach
díncthe dingthe
díngthe dingthe
dínn-ne dínne
díocsach díocasach
díogbháil díobháil
díoghbháileach díobhálach
díoghbálach díobhálach
díolfaí dhíolfaí
díolfiach díol
díolfí dhíolfaí
díomadh díomua
díombadhach díomách
díombhádhach díomách
díomhaoín díomhaoin
díomholadh dímholadh
díréach díreach
dísgireach díscir
díth-náireach dínáireach
díthchiollach dícheallach
díthchreideamhach díchreidmheach
díthcéille díth céille
díthreach díthreabhach
dò dó
dó-ghéan déanfaidh mé
dóbhrónach dobrónach
dóch dócha
dócrach dochrach
dógh dó
dóibh-tha dóibh
dóighfidh dófaidh
dóighthe dóite
dóirneála dornála
dóirsibh doirse
dóirtthe doirte
dóladh dtólamh
dólasach dólásach
dómhain domhain
dómhan domhan
dómhar-dhéag dháréag
Dómhnall Dónall
dón don
dórchú dobharchú
dóth dóigh
dúbhach dubhach
dúbhailteach dúbailte
dúbhart-sa dúirt mise
dúbhrais dúirt tú
dúbhrais-se dúirt tusa
dúbhrathas dúradh
Dúbhthaigheach Dufaíoch
dúinn-na dúinne
dúinn-ne dúinne
dúir-chréachtach dúrchréachtach
dúis-eóchadh dhúiseodh
dúiseóchadh dhúiseodh
dúiseófaí dhúiseofaí
dúithch dúiche
dúnfidís dhúnfaidís
dúnmharbhú dúnmharú
dúr-aigeantach dúraigeanta
dúr-chroidheach dúrchroíoch
dúr-chroidhtheach dúrchroíoch
dúr-chroidhéach dúrchroíoch
dúr-labharthach dúrlabhartha
dúrach dúrúch
dúrthachtach dúthrachtach
dúrthatach dúthracht
dúthrachdach dúthrachtach
dútrachtach dúthrachtach
eachcomhacht each-chumhacht
eachtranacha eachtrannacha
eacrach acrach
eadar-chomhairleach idirchomhairle
eadarghuidheach idirghuí
eadarthra eadra
eadáil éadáil
eadáileach iodálach
eagla's eagla
ealadhnta ealaíonta
ealaonta ealaíonta
eallaig eallaigh
eanbhruithe anraith
easanórach easonórach
easaontadh easaontú
easbadh easpa
easbadhach easpach
easbathach easpach
easbhach easpach
easbhadhach easpach
easbogaibh easpaig
eascún eascann
easonóireach easonórach
easpoc easpag
Easpáinneach Spáinneach
eatora eatarthu
eatorú eatarthu
economach eacnamaíoch
economacha eacnamaíocha
Eibhlís Eilís
eicínteach éigin
eidhsáideach aosáideach
eidtreorach éidreorach
eilioptach éilipseach
einneach aon neach
eirbeallach eireaballach
eireóchaid éireoidh siad
eirghe-amach éirí amach
eirgheadar d'éiríodar
eirgheann éiríonn
eirgheas d'éirigh mé
eirgheochadh éireodh
eirghid éiríonn siad
eirghis d'éirigh
eirig éirigh
eirig-se éirighse
eirigh-se éirighse
eirighe-anáirde éirí in airde
eirighean éiríonn
eirighid éiríonn siad
eirightheach éiritheach
eirigidh éirígí
Eirionnach Éireannach
eiriú éirí
eiríghid éiríonn siad
eiseirigh d'aiséirigh
eiseirighe aiséirí
eistidh éistigí
eistreánach aistreánach
eitheach éitheach
eitill eitil
eitreorach éidreorach
electreach leictreach
Eochadh Eochaidh
eol-chaireach eolchaireach
eolgasach eolach
eolgusach eolach
eomrach ómrach
eudálach éadálach
eudóchasach éadóchasach
eugcórtha éagóirithe
eugla eagla
euloghadh éalú
eulóghadh éalú
eunlaithe éanlaith
eígin éigin
eírig éirigh
eírigh éirigh
eíríghean éiríonn
Eóin Eoin
eólgasach eolach
eólguiseach eolach
fad-altach fadaltach
fad-bhreathnuigheach fadbhreathnaitheach
fad-bhreathnuighthe fadbhreathnaitheach
fad-chuimhneach fadchuimhneach
fad-fheiceálach fadfheiceálach
fad-fhulaingtheach fadfhulangach
fad-léimreach fadléimneach
fad-shaoghalach fadsaolach
fad-shlinneánach fadslinneánach
fad-soillseach fadsoilseach
fad-stuaghach fadstuach
fad-tuirseach fadtuirseach
fadaraidhneach fadaraíonach
fadfhuilingeach fadfhulangach
fadhrach fabhrach
fadshrónach fadsrónach
fadóghadh fadú
faeseamh faoiseamh
fagfar fágfar
faghaidh faighigí
faghail fáil
faghaim-se faighimse
faghan bhfaigheann
faghbhaim-se faighimse
faghfar bhfaighfear
faghfá bhfaighfeá
faghfí bhfaighfí
faghta faighte
faghtha faighte
faghthar faightear
faghálta faighte
fagháltha faighte
fagáil fágáil
fagáil fáil
faice faic
faicealach feiceálach
faichileach faichilleach
faichiollach faichilleach
faid-chneathach fadcheannaitheach
faid-chosach fadchosach
faid-dhealbhach fad-dealbhach
faid-fhoidhneach fadfhoighneach
faid-fhéasógach fadfhéasógach
faid-gheugach fadghéagach
faid-leicneach fadleicneach
faid-sgéalach fadscéalach
faid-tsaolach fadsaolach
faidbhéimneach fadbhéimneach
faidleicineach fadleicneach
faidleicneach fadleicneach
faidlínte fadlínte
faigh-se faighse
faighfí bhfaighfí
failgheach failíoch
failighe faillí
failightheach faillitheach
faillíghtheach faillitheach
faillítheach faillitheach
failíghtheach faillitheach
fain-se fansa
fainiceadh ainiceadh
fainneiriú fainnéirí
fairrsingeach fairsinge
fairsneach fairsinge
fairsnge fairsinge
fairír faraor
faisdionacha fáistineacha
faisgithe fáiscthe
faisionta faiseanta
faithcheach faiteach
faitheach fathach
falaighthe folaithe
falcanach falcanta
falughadh folú
faluighthe folaithe
falú fálú
fam faoi mo
fan-sa fansa
fan-se fansa
fanach fánach
fanachad fanfaidh mé
fanaid fanann siad
fanaidh fanaigí
fanaidh-se fanaigíse
fanaidis fanaidís
fanan fanann
fanfainn fhanfainn
fanfairse fanfaidh tusa
fanfamna fanfaimidne
fanfá d'fhanfá
faobharach faobhrach
Faoideach Faoiteach
faoisiú faoiseamh
faor faobhar
faorúil faobhrach
Faoísdin Faoistin
farge farraige
farrge farraige
farsainneach fairsinge
farsinneach fairsinge
fasgúla fhoscúla
fastaoimeach fastaímeach
fastaoímeach fastaímeach
fastódhach fostaíoch
fea feadh
feacadar fhacadar
feacaidh bhfaca
feacathas bhfacthas
feadhmach feidhmeach
feadhmanach feidhmeannach
feadradar fheadar siad
feaduíol feadaíl
feallsamhach fealsúnach
feamannach feamainneach
feamuinneach feamainneach
fear-an-tighe fear an tí
fear-insgne firinscne
fearadh-fhailteach fearadhfháilteach
fearadh-fháilteach fearadhfháilteach
fearagach feargach
fearagacha feargacha
fearanta fearainn
Feardiadh Fear Diadh
fearg-aidhbhseach feargaibhseach
Feargus Fearghas
fearsadach fearsaideach
feasógach féasógach
fed faoi do
feiceal feiceáil
feiceam feicimis
feiceamuis feicimis
feicean bhfeiceann
feiceóchadh d'fheicfeadh
feicfeadh d'fheicfeadh
feicfeá d'fheicfeá
feicfidhear feicfear
feicfidís bhfeicfidís
feicfinn d'fheicfinn
feicfí d'fheicfí
feicsionach feicseanach
feicsionnach feicseanach
feictí d'fheictí
feidhligheach feighlíoch
feilimeanta feilmeanta
feilimionta feiliúint
feilimionta feilmeanta
feiliúineach feiliúnach
feilmionta feilmeanta
feilméar feirmeoir
feirmeach feirme
feirsgeach séirseach
feirí-glinnte firmiminte
feiscionach feicseanach
feisteochadh d'fheisteodh
feithe feitheadh
feuc féach
feuch-sa féachsa
feuchagaidh féachaigí
feuchaid féachann siad
feuchaidh féachaigí
feuchaig féachaigí
feuchain féachaint
feuchan féachann
feuchaídh féachaigí
feuchaíg féachaigí
feuchuid féachann siad
feárnach fearna
feín féin
feódh feo
feóthadh feo
fhag fhág
fhagadar fhágadar
fhagbháil fágáil
fhaghail fháil
fhaghaim-sa fhaighimse
fhaghaim-se fhaighimse
fhaghbhail fhágáil
fhagáil fhágáil
fhaid's fhad
fhairrgeadha fharraigí
fhanaim-se fhanaimse
fhanan fhanann
fhanfidís fhanfaidís
fharge fharraige
fharrge fharraige
fheaca-sa fhaca mise
fheacaís fhaca tú
fheach fhéach
fheadar-sa fheadarsa
fheadaraís fheadraís
fheadfadh fhéadfadh
fheadfainn fhéadfainn
fheadradar fheadair siad
fhear-ionad fhear ionaid
fhearaibh fhir
Fhearghuis Fhearghais
fhearr-de fhearrde
fheiceal fheiceáil
fheicean fheiceann
fheicáil fheiceáil
fheill fhill
fheuchan fhéachaint
fheuchfaidh fhéachfaidh
fheudfainn-se fhéadfainnse
fheádfadh fhéadfadh
fheárrde fhearrde
fheíll fhill
fhiacalaibh fhiacla
fhiafhraigh fhiafraigh
fhiafhruig fhiafraigh
fhiafhruigh fhiafraigh
fhiafrughadh fiafraí
fhiafruig fhiafraigh
fhiarfuigh fhiafraigh
fhiarfuigheadar fhiafraíodar
fhiarfuigheas fhiafraigh mé
fhiarthú fiafraí
fhilídheacht fhilíocht
fhinneóg fhuinneog
fhionna-ruadh fhionnrua
fhionnfhuaradh fionnuarú
fhiostruigh fhiosraigh
Fhirdhiadh Fhir Diadh
Fhirdiadh Fhir Diadh
fhirinne fhírinne
Fhlaithbheartaigh Fhlaitheartaigh
fhliucfadh fhliuchfadh
fhoghann fhaigheann
fhoghlumuigheamair fhoghlaimíomar
fhoghnfadh fhónfadh
fhogmhar fhómhar
fholag fhulaingt
fholáin fholláin
fhorusta fhurasta
Fhraingc Fhrainc
Fhraingcis Fhraincis
fhrancaig fhrancaigh
fhrangcach fhrancach
Fhrannic Fhrainc
fhreagaradh fhreagairt
fhreagras fhreagair mé
fhreagóradh fhreagródh
fhuigfinn fhágfainn
fhuighbheadh bhfaigheadh
fhuiligeóchainn fhulaingeoinn
fhuilingeadar fhulaingíodar
fhuilingeann fulaingíonn
fhuilinnt fhulaingt
fhuiris fhurasta
fhurusda fhurasta
fhurust fhurasta
fhurusta furasta
fhágaibh fhág
fhágan fhágann
fhágbhadar fhágadar
fhágbhaigh fhág
fhágbhuigh fhág
fhágfainn-se fhágfainnse
fhágfidís fhágfaidís
fhághadh fhaigheadh
fhághadh fhágadh
fhághaim-se fhaighimse
fhághainn fhaighinn
fhághbháil fhágáil
fhághbháil fháil
fháguigh fhág
fháig fháidh
fhásan fhásann
fhéachain fhéachaint
fhéad-faidh fhéadfaidh
fhéadaim-sa fhéadaimse
fhéadaim-se fhéadaimse
fhéadan fhéadann
fhéadar fhéidir
fhéadfainn-se fhéadfainnse
fhéadfhadh fhéadfadh
fhéadfidh fhéadfaidh
fhéadfidís fhéadfaidís
fhéadfinn fhéadfainn
fhéadfinn-se fhéadfainnse
fhéadfá-sa fhéadfása
fhéadtaidhe fhéadfaí
fhéádfainnse fhéadfainnse
fhígheadar fhíodar
fhóghanta fhónta
fhóghluim fhoghlaim
fhóghnann fhónann
fhóghnfadh fhónfadh
fhúig fhág
fiacala fiacla
fiacalach fiaclach
fiadhtha fiata
fiafhruighteach fiafraitheach
fiafhrócha fiafróidh
fiafrachaidh fiafróidh
fiafraidh fiafraigh
fiafraig fiafraigh
fiafrughadh fiafraí
fiafrú fiafraí
fial-bheartacha fialbheartacha
fial-teach fiailteach
fialtach fianlach
fiar-dheasach fiardheasach
fiar-úil fiarshúil
fiarfochaidh fiafróidh
fiarsceóghach fiarsceabhach
fiarthú fiafraí
fille filleadh
fillean filleann
fillfhidh fillfidh
fillinéach filltíneach
finn-chiabhach fionnchiabhach
fioghrach fíoracha
fiona-chas fionnachas
fionn-dlúitheach fionndlúth
fionn-fhéasógach fionnfhéasógach
fionn-sgiathach fionnsciathach
fionna-ruadh fionnrua
fionnfhuarach fionnuar
fionnfhuaradh fionnuarú
fiontarmach fiontarnach
fiosarach fiosrach
fiosradh fiosrú
firean fireann
firinscineach firinscneach
fiuchacha fiuchta
flaitheach flaithiúil
flannruadh flannrua
fleadhtha fleá
flich-bháisteach fliuchbháisteach
fliuch-shalacha fliuchshalacha
fliuchaigh fiuchadh
fliurseach flúirseach
flúirreach flúirseach
flúrseach flúirseach
fobhadhach foghach
fobhartach fóbartach
focha-muideach fochmach
foclóirin foclóirín
Fodhlach Fódlach
foghadh fogha
foghaintineach fóinteach
foghluim-se foghlaimse
foghluimidh foghlaimígí
foghlumanta foghlamtha
foghlumuighidh foghlaimígí
foghlumóchaid foghlaimeoimid
foghlumóchaidh foghlaimeoimid
foghnóchadh bhfónfadh
foghtach foghach
fogmhair fómhair
foi-ghéagach foghéagach
foidneach foighneach
foigdeach foighneach
foighideach foighneach
foighidheach foighneach
foighidneach foighneach
foileamhnach feiliúnach
foirimeallacha forimeallacha
foirmeach foirmiúil
foirtileach foirtil
folamh-radharcach folamhradharcach
follamh folamh
follamhuithe folmhaithe
foluaim-neach foluaineach
foláin folláin
fomarach fomhórach
fonamhadach fonóideach
fonmhóideach fonóideach
fonnamhar fonnmhar
fonomhaideach fonóideach
fonomhoideach fonóideach
fonómhadach fonóideach
for-mhorthuighthe formhothaithe
formdach formadach
forsadh fuirseadh
forusta furasta
fosgaladh oscailt
fosgaltach oscailteach
fothluaimneach foluaineach
fothuigseannach fothramach
foíghdeach foighneach
francaibh francaigh
frangcach francach
fraoch-ghonach fraochghoineach
freagair-se freagairse
freagarach freagrach
freagras d'fhreagair
freagróghaidh freagróidh
frighid fríd
friotholadh friotháil
fritheóladh friotháil
frithir-nimhneach frithirnimhneach
frithálamh friotháileamh
frithálmha friothála
friú leo
Froinnseach Frainseach
fromadh promhadh
fromhtha profa
fromtha profa
fromtha profaí
fromán-gaoithe fothram gaoithe
Fruínseach Frainseach
frínseach frainseach
fuadarach fuadrach
fuadaráil fuadráil
fuadhrach fuadrach
fuagraim fógraím
fuaidreadh fuaidríodh
fuaimeach fuaimneach
fuaimiughadh fuaimniú
fuaireamair fuaireamar
fuama fuaime
fuamach fuaimneach
fuamanna fuaimeanna
fuar-bheirbhighthe fuarbheirithe
fuar-bheirbhthe fuarbheirithe
fuaramair fuaireamar
fuascail-se fuascailse
fuasgaladh fuascailt
fuastarach fústrach
fuigfidh fágfaidh
fuigfir fágfaidh tú
fuighfeadh faigheadh
fuighfeá bhfaighfeá
fuighfidís bhfaighidís
fuighfí bhfaighfí
fuightheá bhfaighfeá
fuil-iceóchadh bhfulaingeodh
fuiliceóchadh bhfulaingeodh
fuilim-se bhfuilimse
fuilingeadh fulaingíodh
fuilingeann fulaingíonn
fuilingeóchaidh fulaingeoidh
fuilinnt fulaingt
fuilinnte fulaingthe
fuilinntí fulaingtí
fuinneach fuinneamh
fuinniméadach fuaimintiúil
fuiris furasta
fuirne foirne
fuithe fúithi
fulanghtha fulaingthe
fulannach fulangach
fuleamhnach fulangach
fulúirseach flúirseach
furtach fortacht
furusda furasta
furust furasta
furusta furasta
fuídheach faíoch
fuígheach faíoch
fuíghleach fuílleach
fágaimíst fágaimid
fágam fágaimis
fágamuidne fágaimidne
fágamuis fágaimis
fágbhaid fágann siad
fágfaidís d'fhágfaidís
fágfainn d'fhágfainn
fághadh faigheadh
fághaltha faighte
fághbháil fáil
fághmaoid faighimid
fághta faighte
fágmaid fágaimid
fágtaí d'fhágtaí
fágtí d'fhágtaí
fáig fáidh
fáigeadóireacht fáidheadóireacht
fáilthe fáilte
fáinnneach fáinneach
fáisc-se fáiscse
fáiscithe fáiscthe
fáisg-se fáiscse
fáisgighthe fáiscthe
fáisgithe fáiscthe
fáltha faighte
fáltha fágálach
fám faoi mo
fásca fáscadh
féach-sa féachsa
féachadsa féachfaidh mise
féachaid féachann siad
féachaidh féachaigí
féachain féachaint
féachainn féachann
féacham féachaimis
féachamuis féachaimis
féachan féachann
féachfamna féachfaimidne
féad-fadh bhféadfadh
féadaid féadann siad
féadfainn-se fhéadfainnse
féadfidís d'fhéadfaidís
féadfinn fhéadfainn
féar-guaireach féar guaireach
féd faoi do
féibh faoi
féidhmeach feidhmiúil
féiltheógach féitheogach
féin-íodhbairtiú féiníobairt
féireach féarach
féirsgeach séirseach
féuc féach
féuchaid féachann siad
féuchan féachann
fíaltach fianlach
fídhbach fíoch
fídhnithe fianaithe
fígeach fíogach
fíllte fillte
Fínghín Fínín
fíoghair fíor
fíoghar fíor
fíomach feidhmeach
fíonnach fionnadh
fíor-achrannacha fíorachrannacha
fíor-bhreitheach fíorbhreitheach
fíor-chráibhtheacha fíorchráifeacha
fíor-dhocmhalach fíordhócúlach
fíor-dhroch-éadach fíor-dhrochéadach
fíor-dásachtach fíordhásachtach
fíor-eólach fíoreolach
fíor-Fhranncacha fíor-Fhrancacha
fíor-fháidhiúla fíorfháidhiúla
fíor-Gaodhlach fíor-Ghaelach
fíor-Ghaedh-ealach fíor-Ghaelach
fíor-Ghaedheal fíor-Ghael
fíor-Ghaedhealach fíor-Ghaelach
fíor-Ghaedhealacha fíor-Ghaelacha
fíor-Ghaedhil fíor-Ghaeil
fíor-Ghaedhlach fíor-Ghaelach
fíor-Ghaeulach fíor-Ghaelach
fíor-Ghaeulacha fíor-Ghaelacha
fíor-ghaisgidheach fíorghaiscíoch
fíor-Ghaodhalach fíor-Ghaelach
fíor-ghlinnte fíorghleannta
fíor-léigheanta fíorléannta
fíor-maiseach fíormhaiseach
fíor-mhalluighthe fíormhallaithe
fíor-neamh-eaglach fíor-neamheaglach
fíor-thaithneamhach fíorthaitneamhach
fíor-thaithneamhacha fíorthaitneamhacha
fíor-thaitneamhacha fíorthaitneamhacha
fíor-usáideach fíorúsáideach
fíor-árrachtach fíor-arrachtach
fíor-úráideach fíorúsáideach
fíor-úsáideach fíorúsáideach
fíorbheagan fíorbheagán
fíorghaedhlach fíor-Ghaelach
fíorsrónach fíorshrónach
fír-dhlightheach fíordhleathach
fír-mhillteach fíormhillteach
fír-mhiscneach fíormhiscneach
fír-neimhneach fíornimhneach
fír-nimhneach fíornimhneach
fír-íontach fíoriontach
fírbrethach fíorbhreitheach
fírinnrach fírinneach
fírmhillteach fíormhillteach
fírnimhneach fíornimhneach
fírínneach fírinneach
fíuntach fiúntach
fóbharthach fóbartach
Fódhlach Fódlach
fógair-se fógairse
fóighideach foighneach
fóintineach fóinteach
fóirleitheadúil forleitheadach
fórach fóireach
fórstineach fóirsteanach
fóríor faraor
fúbhtha fúthu
fúidheach faíoch
fúinteach fiúntach
fúnsa fonsa
fústarach fústrach
g'ránta gearán
gabh-se gabhsa
gabhadar ghabhadar
gabham gabhaimis
gabhthar gabhtar
Gaddhilge Gaeilge
Gadehilge Gaeilge
gadharaibh gadhair
Gaedheala Gaeil
Gaedheilg Gaeilge
Gaedhilige Gaeilge
Gaedhla Gaeil
gaedhlach gaelach
gaedhlacha gaelacha
gaedhlaighe gaelaí
gaedhleach gaelach
Gaedhlibh Gaeil
Gaedhling Gaeilge
Gaedhluinne Gaeilge
Gaedil Gaeil
Gaedilge Gaeilge
gaeulach gaelach
gaeulacha gaelacha
Gaeulaing Gaeilge
Gaeulainge Gaeilge
gahbáil gabháil
gaibheamair ghabhamar
gaibhní gaibhne
gaibhtheach gágach
Gaidheal Gael
gailiú galú
gainniúil gainmheach
gairbh-siabhach gairbhseach
gairim-se gairimse
gaisgideach gaiscíoch
gaisgidhthe gaiscígh
gaisgídheach gaiscíoch
galadh galú
galbhúnach gallúnach
galla-phuic gallphoic
gallaoileach gallúnach
gallaphoic gallphoic
galúnach gallúnach
ganachúiseach gannchúiseach
ganchúiseach gannchúiseach
gannachúiseach gannchúiseach
gansrangach gansreangach
gaodhalach gaelach
gaodhalacha gaelacha
Gaodhalaibh Gaeil
Gaodhil Gaeil
gaodhlach gaelach
gaodhlacha gaelacha
gaog gog
gaortha gaorthaidh
gaoth-namhadacha gaothnaimhdeacha
gaothúil gaotúil
Gaoídhil Gaeil
gaoíthe gaoithe
garaidhthe garraithe
garbh-fholtach garbhfholtach
garbh-ghothach garbhghuthach
garbh-ghuthach garbhghuthach
garbh-ruainneach garbhruainneach
garrdhanta garraithe
garsúil gáirsiúil
Gaédheilg Gaeilge
gcaitfidh gcaithfidh
gcaithfinn-se gcaithfinnse
gcaithfá gcaithfeá
gcaithtear gcaitear
gcaithtí gcaití
gcaitliocach gcaitliceach
gcanad gcana mé
gcaoin-chomhrádh gcaoinchomhrá
gcaráiste gcarráiste
gceangarú gcangarú
gceannaibh gceanna
gceannóghainn gceannóinn
gclaidhmhthe gclaimhte
gclaoidhfidhe gcloífí
gcleasann gcleas
gcloidhmhte gclaimhte
gcoingbheóchadh choinneodh
gcondaé gcontae
gcongbhuigheadh gcoinníodh
gconndaé gcontae
gconsáblaithe gconstáblaí
gcorpaibh gcoirp
gcruth's gcruth
gcríosdaidhthibh gcríostaithe
gcuiread gcuire mé
gcuirfaí gcuirfí
gcuirfeá-sa gcuirfeása
gcuirfheadh gcuirfeadh
gcuirfinn-se gcuirfinnse
gcuirid gcuireann siad
gcuirinn-se gcuirfinnse
gcurfadh gcuirfeadh
gcuímhne gcuimhne
gcáthaoir gcathaoir
gcíobáil gciapáil
gcómhdáil gcomhdháil
gcómhngar gcóngar
gcómhnuíghe gcónaí
gcô-dtaobh gcomhthaobh
gcúigmhadh gcúigiú
geabhad gheobhaidh mé
geabhadh gheobhadh
geabhfaidh gheobhaidh
geabhfaí gheofaí
geabhta geata
geal-adharcacha gealadharcacha
geal-aigeantach gealaigeanta
geal-gháireatach gealgháireach
geal-intinneach gealintinneach
geal-shruthach gealsruthach
geal-áthasach gealáthasach
gealgháiritheach gealgháireach
gealgáiriteach gealgháireach
gealgáirtheach gealgháireach
geallamhain gealltanas
gealltha geallta
gearadh gearradh
gearb-chluasach gearbchluasach
gearfam gearrfaimid
gearfaí ghearrfaí
gearfhiadh giorria
Gearmainneach Gearmánach
Gearmáinneach Gearmánach
gearr-sgéalach gearrscéalach
gearra-radharcach gearr-radharcach
gearra-shúil gearrshúil
gearran gearrán
gearrfiadh giorria
gearrshaoghalach gearrshaolach
geimmhreadh geimhreadh
geineamhnach ginideach
geiniorálta ginearálta
Geinteach Gintlí
geintibh ginte
genearálta ginearálta
generáilte ginearálta
geobha gheobhaidh
geobhad gheobhaidh mé
geobhad-sa gheobhaidh mise
geobhadh gheobhadh
geobhadsa gheobhaidh mise
geobhaidís gheobhaidís
geobhaimíd gheobhaimid
geobhair gheobhaidh tú
geobham gheobhaimid
geobhamaoid gheobhaimid
geobhamaoid-ne gheobhaimid
geobhfad gheobhaidh mé
geobhfaí gheofaí
geobhmaoid gheobhaimid
geobhthaoi gheofaí
geur-fhaobhrach géarfhaobhrach
geár-mhéidhleach géarmhéileach
geárcach gearrcach
geártha gearrtha
geóbhad gheobhaidh mé
geóbhadh gheobhadh
geóbhaid gheobhaidh siad
geóbhair gheobhaidh tú
geóbhdís gheobhaidís
geóbhfir gheobhaidh tú
geóbhmíd gheobhaimid
geóbhmídh gheobhaimid
geócálta geocáilte
geógach geocach
ghabhas-sa ghabh mise
ghabhdar ghabhadar
ghabáil ghabháil
Ghadheal Gael
ghadhraibh ghadhair
Ghaedeala Ghaela
Ghaedhala Ghaela
Ghaedhdhilg Ghaeilge
Ghaedheala Ghaeil
