ceathar-uilleanach ceathairuilleach
ceatharcha ceathracha
ceatharlíneach ceathairlíneach
ceathraidheach ceachartha
ceathramadh ceathrú
ceathrmhadh ceathrú
cedir céadair
ceileabhraid ceiliúrann
ceileabhras cheiliúir
ceilean ceileann
ceiridhthe ceiríní
ceirseach céirseach
ceirt-bhreathach ceartbhreitheach
ceirthlín ceirtlín
ceisnigheach ceisneamhach
ceithre-chosach ceathairchosach
ceoca cé acu
ceocu cé acu
ceocú cé acu
ceremóinte seanmóra
ceárdchan ceárta
ceáthfrach ceáfrach
chabharóchadh chabhródh
chailleamhain chailliúint
chailleas-sa chaill mise
chaiphtín chaptaen
chaitheadar-san chaitheadarsan
chaitheam chaitheamh
chaitheamhar chaitheamar
chaithean chaitheann
chaitheas-sa chaith mise
chaithfheadh chaithfeadh
chaithfinn-se chaithfinnse
chaithid chaitheann siad
chaithtear chaitear
chaitilicidhthibh caitlicigh
chaitliocach caitliceach
chalactha chalctha
chaoin-chneasta chaoinchneasta
chaoinfinn-se chaoinfinnse
chaoíra chaora
chapaillibh chapaill
Charrthaigh Chárthaigh
charáiste charráiste
chasfinn chasfainn
chastha chasta
chean-garú changarú
cheanaig cheannaigh
cheangaileóchadh cheanglódh
cheangalóchadh cheanglódh
cheangarú changarú
cheanglíomair cheanglaíomar
cheann-so cheann seo
cheannuig cheannaigh
cheannuigheas-sa cheannaigh mise
cheannuighmair cheannaíomar
cheanóchadh cheannódh
cheapadar-san cheapadarsan
cheapan cheapann
cheapas-sa cheap mise
cheapfhá cheapfá
cheapta cheaptha
cheapthá cheapfá
cheasnadh cheasna
cheathradh cheathrú
cheudfadha chéadfaí
cheóigh cheo
chianna chéanna
chidhfe feicfidh
chidhfead feicfidh mé
chidhfeadh d'fheicfeadh
chidhfidh feicfidh
chidhfimid feicfimid
chidhfir feicfidh tú
chidhim-se feicimse
chidhinn d'fheicfinn
chidhmid feicimid
chidhmíd feicfimid
chifir feicfidh tú
chimíd feicimid
chineamhaint chinniúint
chiod chéad
chlaochlochadh chlaochlódh
chlaoi cloí
chleachdadh cleachtadh
chlodhbhuailte clóbhuailte
chloigionn chloigeann
chloisfá chloisfeá
chluinfheá chloisfeá
chluinim-se cloisimse
chlutha chluiche
chléibh-se chléibhse
chneamhdóg chrumhóg
chnocaibh chnoic
chnucáin chnocáin
chnupuighthe cnaptha
cho-mhuinteartha chómhuinteartha
chodaltha chodlata
chodlochadh chodlódh
chogaineóchadh chognódh
choidh'e choíche
choimeádan choimeádann
choimh-cheangladh comhcheangal
choimhead choimhéad
choiméadtha choimhéadta
choineóchadh choinneodh
choingbheochadh choinneodh
choingeáil choinneáil
choinghbheáil choinneáil
choingibh choinnigh
choingigh choinnigh
choinnibh-se choinnese
choiripthe choirbthe
choisgean choisceann
chola chodladh
choláistidhibh coláistí
chomh-chráidhte chomhchráite
chomh-dheagh-chumtha chomh-dhea-chumtha
chomhdhaltas chomhaltas
chomhdlúighte chomhdhlúite
chomhnaig chónaigh
chomhnuighdís chónaídís
chomhnuigheadar chónaíodar
chonac-sa chonaic mise
chonacabhair chonaic sibh
chonalbhughadh choinnealbhá
choncamar chonaiceamar
chondaé chontae
chongbhadar choinníodar
chongbhuigeas choinnigh mé
chongbhuigheadar choinníodar
chongbháilt choinneáil
chongbuigh choinnigh
chongnamh-sa chúnamhsa
chongnanta chúnta
chongáil choinneáil
chonnac-amair chonaiceamar
chonnac-sa chonaic mise
chonnacamar chonaiceamar
chonnacathas chonacthas
Chonnachtac Chonnachtach
chonnaiceas-sa chonaic mise
chonnaich chonaic
chonnarcadar chonaiceadar
chonnarcamar chonaiceamar
chonnarcas chonacthas
chorpaibh choirp
chorpnochtaithe chorpnochta
chos-nochtaithe chosnochta
chos-nochtaithe cosnochta
chos-nochtuighthe chosnochta
choímhtheach choimhthíoch
chraoibhsgaoilte chraobhscaoilte
chraos-osgailte chraososcailte
chreach-ghabháil creachghabháil
chreidfá chreidfeá
chrion-feóighte chríonfheoite
chrithniú chrith
chrocfadh chrochfadh
chroide chroí
chromaradh chromada
chronánaigh chrónánaigh
chrothas chroith mé
chrothughadh chruthú
chruaidh-bheir-bhighthe chruabheirithe
chruaidh-Ghaedhilg crua-Ghaeilge
chruithightheóra chruthaitheora
chruithniú chruthú
chruthuigheoir chruthaitheoir
chruthuigheora chruthaitheora
chrádhaigh chráigh
chrádhuigh chráigh
chríoch-san chríochsan
chríochnadh chríochnú
chríochnugadh chríochnú
Chríosdaidhthibh Chríostaithe
Chríosdaídhe Chríostaí
Chríostaidhthibh Chríostaithe
chróidhe chroí
chrúdhfadh chrúfadh
chuadar-san chuadarsan
chuadh chuaigh
