Abrán Aibreán
aithid feithid
aithidhe taithí
aithigh taithigh
aithinne faithne
aithint aithne
aithleaghaidh athleáigh
aithleasc aimhleasc
aithmhéala aiféala
aithmhéaltas aiféaltas
aithmhéile aiféala
aithne aithint
aithneachtáil aithint
aithneadúil aithnidiúil
aithneann aithníonn
aithnidh aithnid
aithnigh aithin
aithniú aithint
aithreach aithríoch
aithriseann aithrisíonn
aithrisiúil aithriseach
aithrist aithris
aitinne aitinn
alabard haileabó
alabard halbard
alastram feileastram
alatán alltán
albha aló
aleis ris
alfraitseacht alfraitsíocht
alla allta
allabhog alabhog
allach falrach
allaibhre allaíre
allaidh allta
allar alla
allasach allasúil
allasmhar allasúil
allasta allasúil
allmharach allúrach
allmhartha allúrach
allmhurach allúrach
allsacht alltacht
alltracha aillte
allás ollás
allásach ollásach
allúntas liúntas
almais alamais
almsain almsa
almóid almóinn
alp ailp
alp earc
alpachán alpaire
alpachán alpán
alpaíl alpaireacht
alpóg alpán
alpúil alpach
alt ailt
altan altán
altanna ailt
altraid altair
altramacht altramas
altórach altóra
altóracha altóirí
alóg calóg
alúntas liúntas
am do mo
amadánach amadánta
amadánacht amadántacht
amadántaíocht amadántacht
amadántúil amadánta
amadánúil amadánta
amaidíocht amaideacht
amairinis amainiris
amal gamal
amalach gamalach
amalaíocht gamalacht
amalóg amlóg
amalógacht amlógacht
amalóir amlóir
amalóireacht amlóireacht
amanarthar amanathar
amanta amanna
amarac armacas
amaraca armacas
amarca armacas
amarcach armacach
amasaigh aimsigh
ambaist ambaiste
ambasa ambaiste
ameasc i measc
amhail samhail
amhainseacht amhainse
amhairisc amhras
amhairseach amhrasach
amhaisce amhaisc
amhanc amharc
amhancaíl amharcaíl
amharsaíocht áibhirseoireacht
amhasach amhsach
amhasc amhaisc
amhasmhar amhsach
amhastraíl amhastrach
amhasóir amhas
amhdachtáil admháil
amhdaigh admhaigh
amhdhoircheacht amhdhorchacht
amhgar angar
amhgarach angarach
amhlabhar amhlabhrach
amhluadh aimliú
amhlóir abhlóir
amhlóireacht abhlóireacht
amhnáireach adhnáireach
amhraisteach amhrasach
amhrasta amhrasach
amhrastúil amhrasach
amhsa amhsaine
amhsaineacht amhsaine
amhscarnach amhscarthanach
amhsóg amhsán
amhsóir amhas
amhthrasc afrasc
amhthroid geamhthroid
amhóg abhóg
amlachán amlóir
amlua aimliú
amlás antlás
amlásach antlásach
amlú aimliú
amogha amú
ampall ampla
ampar amparán
ampar ampla
amplais aimpléis
amplúil amplach
amscaíoch amscaí
amugha amú
amuí amaí
amáireach amárach
amás ambaiste
améan áiméan
amóin amóinia
amús amas
an fan
anacaireach anacrach
anach eanach
anafais anfais
anafaiseach anfaiseach
anagar anagal
anaibidh anabaí
anaibidheacht anabaíocht
anaic ainic
anairde in airde
anaithe anfa
anaitheach anfach
anaitheanta anaithnid
anaithiúil anfúil
anaithnidh anaithnid
anamanna anamacha
anamhain fanacht
anamhaint fanacht
anamhóin anbhuain
anamhóineach anbhuaineach
anamnacha anamacha
anatas anaiteas
anbhainneach anbhann
anbhainneacht anbhainne
anbhfainne anbhainne
anbhfala anfhala
anbhfann anbhann
anbhfola anfhala
anbhfáilte anfháilte
anbhruith anraith
anbhuaine anbhuain
anbháthach anbhách
anbháthadh anbhá
ancairt tancard
ancard tancard
ancaíl amharcaíl
anchruthúil anchruthach
anchúinsiúil anchúinseach
anchúinsí anchúinse
andaidh don daighe
andar dar
andeas aneas
andoircheacht andorchacht
andóghach andóch
andúir fondúir
anfadhach anfach
anfhlaith anlaith
anfhlaitheach anlathach
anfhlaitheas anlathas
anfhochain anachain
anfhoirlinneach anfhorlannach
anfhoirlinneacht anfhorlann
anfhola anfhala
anfhortas anfhortacht
anfhás anás
anfhásta anásta
anfúil anfach
ang eang
angach angaíoch
angacht angaíocht
angadhach angaíoch
angaidh aingí
angailt agaill
angarais anglais
angarúnach angarúinneach
angbhaidh aingí
angbhaidheacht aingíocht
anglach eanglach
anglá anglait
anglálaí anglán
anglánaí anglán
anglóir anglán
angúil angaíoch
aniu inniu
aniugh inniu
anlacan adhlacadh
anlacanaí adhlacóir
anlasúnta anlasánta
anleisciúil aimhleisciúil
anma anama
anmain anamacha
anman anama
anmhaidin adhmhaidin
anmhain fanacht
annaimhe annamhacht
annamhaíocht annamhacht
anndúir fondúir
annla hanla
annsan ansin
annso anseo
annspianta ainspianta
annspiantacht ainspiantacht
annsúd ansiúd
annúlacht annamhacht
anos anois
anracht ainriocht
anrachtach ainriochtach
anrachtán ainriochtán
anraid anairt
anrait anairt
anróch anróiteach
anróití anróiteacht
ansa ansacht
ansan ansin
ansciath ainscian
anshocair anacair
anshocracht anacair
anshógh anó
anso anseo
anstrólaí astralaí
anstrólaíocht astralaíocht
ansúd ansiúd
antromán antrom
antráthúil antráthach
antuigse antuiscint
antuigseach antuisceanach
antuisce antuiscint
anuaidh aduaidh
anumhla anumhlaíocht
anumhlacht anumhlaíocht
anáile anála
anáir onóir
anál anáil
análach anála
anámhailleach anábhailleach
anársaidh anársa
anástach anásta
ané inné
anóch anóiteach
anórthar anóirthear
aobh aoibh
aobha aenna
aobhdha aoibhiúil
aobhdhacht aoibhiúlacht
aodhaire aoire
aoibhill aoibheallach
aoibhle aoibhil
aoigheach aíoch
aoigheacht aíocht
aoigheachtach aíochtach
aoileann faoileann
aoineadh aoine
aoinfheacht éineacht
aoinfhear aonar
aoinne aon duine
aoinneach aon neach
aointigheachas aontíos
aointigheas aontíos
aoirde airde
aoitheo aothú
aolaigh aol
aolbhach aolmhar
aolmhach aolmhar
aomh faomh
aonaigh aontaigh
aonarachas aonaracht
aonartha aonarach
aonarúil aonarach
aonda aonta
aondacht aontacht
aondachtaí aontachtaí
aondachtóir aontachtaí
aondumha aontumha
aonmhadh aonú
aonrach aonarach
aonracht aonaracht
aonracán aonarán
aonracánach aonaránach
aonracánacht aonaránacht
aontach aontaitheach
aontachas aontacht
aonú aontú
aor aoir
aorthann feorainn
aorúil aorach
aos aois
aosóga aos óg
aothó aothú
ap aibigh
apaigh aibigh
aprún naprún
apstal aspal
ara arú
ara earra
arach ara
arach araí
aracha araí
arad ard
aradh foradh
aradha araí
aradhnach araíonach
aradhnacht araíonacht
arae ar aoi
aragaint aragail
aragal aireagal
araid ortha
arasbarr farasbarr
araí airí
araí araoid
arbha arbhair
arbhú arú
arc earc
arcachán airceachán
